Serial number,Datum ID,Session ID,Data format version,Firmware version,App version,Date / time local,Timezone offset (mins),Date local (yyyy/MM/dd),Time local (hh:mm:ss),GPS lat (ddmm.mmmmm),GPS long (dddmm.mmmmm),GPS speed (km/h),GPS sat count,Timebase (s),Status,Battery remaining (%),Accel X,Accel Y,Accel Z,Tape position,Flow setpoint (mL/min),Flow total (mL/min),Flow1 (mL/min),Flow2 (mL/min),Sample temp (C),Sample RH (%),Sample dewpoint (C),Internal pressure (Pa),Internal temp (C),Optical config,UV Sen1,UV Sen2,UV Ref,UV ATN1,UV ATN2,UV K,Blue Sen1,Blue Sen2,Blue Ref,Blue ATN1,Blue ATN2,Blue K,Green Sen1,Green Sen2,Green Ref,Green ATN1,Green ATN2,Green K,Red Sen1,Red Sen2,Red Ref,Red ATN1,Red ATN2,Red K,IR Sen1,IR Sen2,IR Ref,IR ATN1,IR ATN2,IR K,UV BC1,UV BC2,UV BCc,Blue BC1,Blue BC2,Blue BCc,Green BC1,Green BC2,Green BCc,Red BC1,Red BC2,Red BCc,IR BC1,IR BC2,IR BCc,Readable status
MA200-0071,174293,96,1,1.1,1.4,2022-07-14T09:19:00,0,2022-07-14,09:19:00,37.99531019,23.81589448,0.1,11,60,130,100,928,2360,-27936,5,150,0,0,0,39.56,21.1,13.24,98580,38.56,SINGLESPOT-UV-BLUE-GREEN-RED-IR,799354,,913144,0,"""","""",934870,,754944,0,"""","""",942743,,776224,0,"""","""",970128,,881652,0,"""","""",661661,,917550,0,"""","""",,,,,,,,,,,,,,,,Start up-Flow unstable
MA200-0071,174294,96,1,1.1,1.4,2022-07-14T09:20:01,0,2022-07-14,09:20:01,37.99528801,23.81589389,0.2,11,60,130,100,854,2441,-28020,5,150,0,0,0,39.7,21,13.27,98560,38.69,SINGLESPOT-UV-BLUE-GREEN-RED-IR,796306,,910126,0,"""","""",932159,,752945,0,"""","""",937055,,771754,0,"""","""",967311,,879225,0,"""","""",662244,,918717,0,"""","""",,,,,,,,,,,,,,,,Start up-Flow unstable
MA200-0071,174295,96,1,1.1,1.4,2022-07-14T09:21:01,0,2022-07-14,09:21:01,37.99529934,23.81589782,0.1,11,60,130,100,812,2387,-28012,5,150,0,0,0,39.71,20.9,13.19,98552,38.88,SINGLESPOT-UV-BLUE-GREEN-RED-IR,794440,,908276,0,"""","""",935777,,755981,0,"""","""",935914,,770860,0,"""","""",971086,,882709,0,"""","""",661615,,917987,0,"""","""",,,,,,,,,,,,,,,,Start up-Flow unstable
MA200-0071,174296,96,1,1.1,1.4,2022-07-14T09:22:01,0,2022-07-14,09:22:01,37.99526268,23.81588882,0.1,11,60,128,100,770,2212,-26804,5,150,0,0,0,39.7,20.7,13.06,98544,39.13,SINGLESPOT-UV-BLUE-GREEN-RED-IR,797459,,912087,0,"""","""",933653,,754523,0,"""","""",934786,,770129,0,"""","""",969020,,880998,0,"""","""",660372,,916443,0,"""","""",,,,,,,,,,,,,,,,Flow unstable
MA200-0071,174297,96,1,1.1,1.4,2022-07-14T09:23:00,0,2022-07-14,09:23:00,37.99527568,23.81589699,0.2,11,60,128,100,900,2312,-27168,5,150,0,0,0,39.69,20.6,12.99,98560,39.25,SINGLESPOT-UV-BLUE-GREEN-RED-IR,795015,,909666,0.04207,"""","""",930845,,752473,0.032526,"""","""",929599,,766079,0.027763,"""","""",971948,,883878,0.023705,"""","""",661860,,918593,0.012226,"""","""",0,,,0,,,0,,,0,,,0,,,Flow unstable
MA200-0071,174298,96,1,1.1,1.4,2022-07-14T09:24:00,0,2022-07-14,09:24:00,37.99525136,23.81587249,0.1,11,60,128,100,951,2320,-28688,5,150,0,0,0,39.68,20.5,12.92,98548,39.38,SINGLESPOT-UV-BLUE-GREEN-RED-IR,796277,,911510,0.084309,"""","""",932502,,754091,0.066656,"""","""",926420,,763680,0.059228,"""","""",967984,,880491,0.047797,"""","""",660098,,916245,0.022747,"""","""",0,,,0,,,0,,,0,,,0,,,Flow unstable
MA200-0071,174299,96,1,1.1,1.4,2022-07-14T09:25:00,0,2022-07-14,09:25:00,37.99525833,23.81585139,0.1,11,60,128,100,1012,2395,-27920,5,150,0,0,0,39.67,20.5,12.85,98544,39.5,SINGLESPOT-UV-BLUE-GREEN-RED-IR,792366,,907390,0.129704,"""","""",933696,,755346,0.105703,"""","""",931778,,768357,0.093002,"""","""",969448,,882050,0.074243,"""","""",661080,,917685,0.033897,"""","""",0,,,0,,,0,,,0,,,0,,,Flow unstable
MA200-0071,174300,96,1,1.1,1.4,2022-07-14T09:26:00,0,2022-07-14,09:26:00,37.995287,23.81587917,0,11,60,128,100,944,2344,-27568,5,150,0,0,0,39.65,20.4,12.77,98552,39.56,SINGLESPOT-UV-BLUE-GREEN-RED-IR,793227,,908815,0.175009,"""","""",929093,,751939,0.145578,"""","""",932466,,769220,0.128131,"""","""",970688,,883424,0.101375,"""","""",661800,,918825,0.045585,"""","""",0,,,0,,,0,,,0,,,0,,,Flow unstable
MA200-0071,174301,96,1,1.1,1.4,2022-07-14T09:27:00,0,2022-07-14,09:27:00,37.99527699,23.81585956,0.1,11,60,128,100,876,2356,-26568,5,150,0,0,0,39.63,20.3,12.69,98540,39.56,SINGLESPOT-UV-BLUE-GREEN-RED-IR,794451,,910579,0.213356,"""","""",929649,,752619,0.177497,"""","""",933104,,769919,0.155479,"""","""",970874,,883748,0.121582,"""","""",662323,,919651,0.054698,"""","""",0,,,0,,,0,,,0,,,0,,,Flow unstable
MA200-0071,174302,96,1,1.1,1.4,2022-07-14T09:28:00,0,2022-07-14,09:28:00,37.99525464,23.81584555,0.1,11,60,128,100,971,2372,-27340,5,150,0,0,0,39.61,20.2,12.62,98548,39.63,SINGLESPOT-UV-BLUE-GREEN-RED-IR,794750,,911257,0.250664,"""","""",930259,,753327,0.209541,"""","""",933416,,770435,0.182395,"""","""",965460,,879004,0.143999,"""","""",662789,,920367,0.063293,"""","""",0,,,0,,,0,,,0,,,0,,,Flow unstable
